Código,Descripción,Categoría,Marca,Cantidad (unidades),Unidades/Bulto,Cantidad (bultos),Costo Unitario (USD),Precio Unitario (USD),Valor Total Costo (USD),Valor Total Venta (USD)
001210,COLADO POUCH MELOCOTON HEINZ 113 GR,INFANTIL,nan,1776.00,24,74.00,0.8268,0.8100,1468.38,1438.56
004726,JABON TRIPACK AVENA+PREBIOTICO PROTEX 330 GR,CUIDADO PERSONAL,nan,552.00,24,23.00,2.6575,4.4399,1466.94,2450.83
000697,SHAMPOO PROH COMPLEX CABELLO LISO DRENE 370 ML,CUIDADO PERSONAL,nan,636.00,12,53.00,2.2984,4.3891,1461.77,2791.46
003510,PASTICHO DIRECTO AL HORNO SINDONI 250 GR,CESTA BASICA,None,972.00,12,81.00,1.5000,1.8500,1458.00,1798.20
001416,PASTA PLUMA ALLEGRI 1 KG,CESTA BASICA,nan,912.00,12,76.00,1.5915,1.9000,1451.47,1732.80
000952,NECTAR DE DURAZNO DEL MONTE 200 ML,BEBIDAS,nan,1944.00,27,72.00,0.7446,0.6203,1447.60,1205.95
000775,CIGARROS BELMONT 10 UND,MISCELANEOS,None,1344.00,12,112.00,1.0717,1.5200,1440.31,2042.88
002140,TOALLAS SANITARIAS NOCHE ALIVE 8 UND,CUIDADO PERSONAL,nan,1440.00,72,20.00,0.9943,0.9741,1431.84,1402.64
001260,PASTA VERMICELLI RONCO 500 GR,CESTA BASICA,nan,1416.00,24,59.00,1.0062,1.1600,1424.77,1642.56
001683,PASTA DITALI SINDONI 1 KG,SIN CATEGORIA,None,972.00,12,81.00,1.4629,1.8700,1421.96,1817.64
001203,COLADO DE MANZANA HEINZ 186 GR,INFANTIL,nan,1632.00,24,68.00,0.8655,0.8700,1412.57,1419.84
000163,RON CARTA ROJA SANTA TERESA 1 LT,BODEGON,nan,540.00,12,45.00,2.6030,3.7691,1405.59,2035.32
000881,GALLETAS COCOSETTE MAXI NESTLE 4 UND 200 GR,GALLETAS,nan,660.00,60,11.00,2.1173,3.1706,1397.39,2092.59
005313,GRANJA RON SECO 1 LT,SIN CATEGORIA,None,1164.00,1,1164.00,1.1967,1.7221,1392.96,2004.51
001644,COLADO DE MANZANA HEINZ 113 GR,INFANTIL,nan,1608.00,24,67.00,0.8600,0.7100,1382.88,1141.68
000186,CEPILLO DE BARRER CON PALO,LIMPIEZA,nan,1272.00,12,106.00,1.0854,2.2595,1380.66,2874.03
001208,COLADO DE FRUTAS TROPICALES HEINZ 186 GR,INFANTIL,nan,1512.00,24,63.00,0.9084,0.8700,1373.53,1315.44
001025,CEREAL CRONCH FLAKES MAIZORITOS 500 GR,SIN CATEGORIA,None,744.00,12,62.00,1.8458,3.6712,1373.29,2731.41
001251,COLADO POUCH DE MANZANA HEINZ 113 GR,INFANTIL,nan,1632.00,24,68.00,0.8392,0.8100,1369.56,1321.92
001217,VINAGRE HEINZ 500 ML,VIVERES,nan,1488.00,24,62.00,0.9199,1.0600,1368.79,1577.28
001789,SALSA DE MAIZ FRITZ 240 GR,VIVERES,nan,877.00,12,73.08,1.5601,2.8888,1368.21,2533.45
000684,JABON ANTIBACTERIAL CARBON DETOX PROTEX 110 GR,CUIDADO PERSONAL,nan,1368.00,72,19.00,1.0000,1.4828,1368.00,2028.47
002182,CREMA DENTAL FRESH MINT ALIDENT 100 GR,SIN CATEGORIA,None,1824.00,96,19.00,0.7496,1.2294,1367.26,2242.42
001118,GALLETA MARILU VAINILLA PUIG 216 GR,SIN CATEGORIA,None,1512.00,24,63.00,0.9022,1.0601,1364.12,1602.91
002829,GALLETAS DE MANTEQUILLA Y LECHE RENATA 133 GR,GALLETAS,nan,1620.00,36,45.00,0.8377,0.9200,1357.15,1490.40
000305,MANZANA AMARILLA UND,FRUVER,None,1291.00,1,1291.00,1.0469,1.4100,1351.50,1820.31
004116,GALLETAS FUDGE OREO 156 GR,GALLETAS,nan,896.00,28,32.00,1.5064,2.6898,1349.70,2410.10
004096,SALSA PARA PASTA NAPOLITANA KIERO 340 GR,VIVERES,nan,1368.00,24,57.00,0.9826,1.1899,1344.22,1627.75
002656,CREMA CHANTILLY MASTER TOP 1 LT,REPOSTERIA,nan,288.00,12,24.00,4.6658,7.0698,1343.74,2036.09
002702,NECTAR DE NARANJA TRIPACK S/A VIVO 190 ML,SIN CATEGORIA,None,872.00,8,109.00,1.5400,1.8900,1342.88,1648.08
001037,MAIZINA AMERICANA ALFONZO RIVAS 400 GR,VIVERES,nan,875.00,25,35.00,1.5250,2.7314,1334.38,2389.98
001826,NECTAR DE DURAZNO NATULAC 250 ML,BEBIDAS,nan,1656.00,24,69.00,0.8051,0.8513,1333.32,1409.69
002100,COMPOTA DE MANZANA/PERA/FRESA OSOLE 100 GR,INFANTIL,nan,2328.00,24,97.00,0.5704,0.5698,1327.94,1326.39
001390,RON GRAN RESERVA SANTA TERESA 1 LT,BODEGON,nan,234.00,9,26.00,5.6589,9.5285,1324.18,2229.66
000159,RON SUPERIOR SANTA TERESA 1 LT,BODEGON,nan,636.00,12,53.00,2.0764,3.2312,1320.61,2055.03
001507,SALSA DE AJO IBERIA 150 ML,VIVERES,nan,1248.00,24,52.00,1.0519,1.3384,1312.76,1670.31
001641,COLADO DE FRUTAS MIXTAS HEINZ 113 GR,INFANTIL,nan,1368.00,24,57.00,0.9580,0.7100,1310.54,971.28
001157,PONCHE CREMA ELIODORO GONZALEZ 700 ML,BODEGON,nan,240.00,12,20.00,5.4585,10.3383,1310.03,2481.19
001590,MALTA MALTIN POLAR 1.5 LT,BEBIDAS,nan,1086.00,6,181.00,1.2052,1.5500,1308.88,1683.30
004048,GALLETAS DE VAINILLA OREO 96 GR,GALLETAS,nan,1400.00,56,25.00,0.9336,1.1389,1307.05,1594.45
003962,CERVEZA EN LATA VERDE CLASSIC SOLERA 250 ML,BODEGON,nan,1416.00,24,59.00,0.9205,0.9200,1303.41,1302.72
002448,PROTECTORES DIARIOS LINER KOTEX 15 UND,CUIDADO PERSONAL,nan,1416.00,24,59.00,0.9200,1.2200,1302.72,1727.52
002009,LIMPIA POCETAS TK 1 LT,LIMPIEZA,nan,960.00,12,80.00,1.3504,2.3800,1296.37,2284.80
002058,QUESO CHEDDAR ARIAS 240 GR,VIVERES,nan,936.00,12,78.00,1.3722,1.9100,1284.34,1787.76
000768,GALLETAS MINI CHIPS VAINILLA NABISCO 180 GR,GALLETAS,nan,1176.00,24,49.00,1.0888,1.6387,1280.40,1927.12
001204,COLADO DE PERA HEINZ 186 GR,INFANTIL,nan,1560.00,24,65.00,0.8181,0.8700,1276.22,1357.20
000869,CUBITO CALDO DE COSTILLA MAGGI 8 UND 88 GR,VIVERES,nan,1200.00,48,25.00,1.0617,1.7400,1274.00,2088.00
001270,REFRESCO ORIGINAL COCA COLA 1.5 LT,BEBIDAS,nan,1554.00,6,259.00,0.8187,0.9500,1272.24,1476.30
001890,REFRESCO FRESH GLUP 2 LT,BEBIDAS,nan,1986.00,6,331.00,0.6400,0.7400,1271.04,1469.64
004937,DETERGENTE EN POLVO PODER Y CUIDADO ARIEL 400 GR,LIMPIEZA,nan,936.00,24,39.00,1.3444,1.8609,1258.40,1741.83
003888,CEREAL ROCKET PLANET DULCE DE LECHE SANTONI 120 GR,VIVERES,nan,1300.00,20,65.00,0.9671,1.2500,1257.24,1625.00
001889,REFRESCO KOLITA GLUP 2 LT,BEBIDAS,nan,1962.00,6,327.00,0.6400,0.7400,1255.68,1451.88
005074,PAPEL DE ALUMINIO 10 MT,HOGAR,nan,820.00,100,8.20,1.5301,2.2900,1254.69,1877.80
003860,REFRESCO KOLITA GLUP 400 ML,SIN CATEGORIA,None,2025.00,15,135.00,0.6187,0.3200,1252.89,648.00
001895,REFRESCO KOLITA GLUP 1 LT,SIN CATEGORIA,None,1644.00,12,137.00,0.7606,0.5400,1250.50,887.76
001250,COLADO POUCH DE PERA HEINZ 113 GR,INFANTIL,nan,1560.00,24,65.00,0.7957,0.8100,1241.22,1263.60
001152,CREMA DENTAL REFRESCANTE PLAX COLGATE 100 ML,CUIDADO PERSONAL,nan,792.00,72,11.00,1.5633,2.7915,1238.10,2210.88
000883,CERELAC SACHET NESTLE 900 GR,INFANTIL,nan,228.00,12,19.00,5.4032,10.3900,1231.92,2368.92
001846,COLADO DE PERA NATULAC 186 GR,SIN CATEGORIA,None,1368.00,24,57.00,0.9000,1.1100,1231.20,1518.48
002286,GALLETAS WAFFER DE FRESA SORBETICO 105 GR,GALLETAS,nan,1410.00,30,47.00,0.8694,1.0094,1225.87,1423.20
003384,SALSA DE TOMATE KETCHUP UNDERWOOD 397 GR,VIVERES,nan,984.00,24,41.00,1.2444,1.7200,1224.53,1692.48
001249,COLADO POUCH DE BANANA HEINZ 113 GR,INFANTIL,nan,1368.00,24,57.00,0.8941,0.8100,1223.07,1108.08
000686,JABON DE BANANA Y AGUACATE PALMOLIVE 110 GR,CUIDADO PERSONAL,nan,1440.00,72,20.00,0.8487,1.3420,1222.13,1932.48
001640,COLADO DE BANANA HEINZ 113 GR,INFANTIL,nan,1656.00,24,69.00,0.7312,0.7089,1210.87,1173.91
001038,MAIZINA AMERICANA ALFONZO RIVAS 200 GR,VIVERES,nan,1160.00,40,29.00,1.0417,1.4399,1208.33,1670.23
005028,PASTA LINGUINI PREMIUN SINDONI 500 GR,CESTA BASICA,nan,1008.00,12,84.00,1.1962,1.4000,1205.80,1411.20
001958,GELATINA DE CHICLE FRUXI 40 GR,REPOSTERIA,nan,1512.00,72,21.00,0.7965,0.7900,1204.34,1194.48
005142,NECTAR DE PERA GRANJA 200 ML,BEBIDAS,nan,2916.00,27,108.00,0.4100,0.4700,1195.56,1370.52
001205,COLADO DE BANANA HEINZ 186 GR,INFANTIL,nan,1416.00,24,59.00,0.8422,0.8700,1192.56,1231.92
000312,ACEITE DE OLIVA AL-AMIR 500 ML,CESTA BASICA,nan,336.00,12,28.00,3.5413,8.7900,1189.87,2953.44
004169,SHAMPOO SUAVE Y MANEJABLE 2 EN 1 HEAD & SHOULDERS 375 ML,CUIDADO PERSONAL,nan,252.00,12,21.00,4.7042,8.4493,1185.45,2129.22
001306,PAN INTEGRAL HOLSUM 420 GR,PANADERIA,None,731.00,1,731.00,1.6190,3.0100,1183.50,2200.31
003578,SALSA DE TOMATE KETCHUP IBERIA 198 GR,VIVERES,nan,1152.00,24,48.00,1.0273,1.2900,1183.47,1486.08
001046,MAIZINA AMERICANA ALFONZO RIVAS 120 GR,VIVERES,nan,1504.00,32,47.00,0.7786,0.8608,1171.00,1294.60
002097,COMPOTA DE MANZANA CON CANELA OSOLE 100 GR,INFANTIL,nan,1848.00,24,77.00,0.6255,0.5697,1155.86,1052.73
005256,CREMA DENTAL ULTRA FRESH ALIDENT 100 GR,CUIDADO PERSONAL,nan,1536.00,12,128.00,0.7448,1.1607,1144.08,1782.86
000932,GALLETAS COCOSETTE MINI NESTLE 25 GR,GALLETAS,nan,1728.00,18,96.00,0.6609,0.4906,1141.96,847.82
003803,BEBIDA ACHOCOLATADA LANDOR 400 GR,VIVERES,nan,725.00,25,29.00,1.5611,2.3608,1131.78,1711.59
000922,CHOCOLATE CHOCO AVELLANAS CARRE SAVOY 25 GR,CONFITERIA,nan,1280.00,256,5.00,0.8839,1.0500,1131.35,1344.00
003886,CREMA DE ARROZ NUTRI TONI SANTONI 400 GR,SIN CATEGORIA,None,1284.00,12,107.00,0.8810,1.0500,1131.23,1348.20
001648,CEREAL MEGA AROS COLORES TU CEREAL 500 GR,VIVERES,nan,906.00,6,151.00,1.2473,2.5400,1130.04,2301.24
001389,RON LINAJE SANTA TERESA 700 ML,BODEGON,nan,174.00,6,29.00,6.4591,11.8703,1123.88,2065.43
001643,COLADO DE POSTRE DE FRUTAS HEINZ 113 GR,INFANTIL,nan,1560.00,24,65.00,0.7200,0.7100,1123.20,1107.60
000643,SHAMPOO 2 EN 1 SUAVE Y MANEJABLE HEAD & SHOULDERS 18 ML,CUIDADO PERSONAL,nan,2652.00,300,8.84,0.4233,0.3821,1122.68,1013.38
003722,PASSATA DE TOMATTE KALDINI 680 GR,VIVERES,nan,672.00,12,56.00,1.6692,3.4818,1121.69,2339.75
004513,WHISKY 12 AÑOS OLD PARR 1 LT,SIN CATEGORIA,None,48.00,12,4.00,23.3500,46.7000,1120.80,2241.60
003887,CEREAL ROCKET PLANET CHOCOLATE SANTONI 120 GR,VIVERES,nan,1160.00,20,58.00,0.9656,1.2500,1120.08,1450.00
004255,CHOCOLATE DELIGHT SAVOY 27 GR,CONFITERIA,nan,1152.00,288,4.00,0.9700,1.2400,1117.44,1428.48
003556,PASTA DE TOMATE ARIAS 500 GR,VIVERES,nan,528.00,12,44.00,2.1073,3.9100,1112.66,2064.48
000681,JABON GRANADA PALMOLIVE 110 GR,CUIDADO PERSONAL,nan,1512.00,72,21.00,0.7258,1.3330,1097.46,2015.55
001032,CEREAL DULCE DE LECHE FLIPS 220 GR,VIVERES,nan,648.00,24,27.00,1.6921,2.8513,1096.51,1847.67
003845,SALSA PARA PASTA NAPOLITANA CON TOCINETA OLE 340 GR,VIVERES,nan,895.00,24,37.29,1.2222,1.7200,1093.89,1539.40
004098,SALSA PEPERONI KIERO 340 GR,VIVERES,nan,1056.00,24,44.00,1.0352,1.3544,1093.16,1430.20
001957,GELATINA DE LIMON FRUXI 40 GR,REPOSTERIA,nan,1368.00,72,19.00,0.7974,0.7900,1090.83,1080.72
003052,PAÑAL PARA BEBES BASIC TALLA XG OKI x 9,INFANTIL,nan,660.00,20,33.00,1.6474,2.4205,1087.26,1597.53
002804,GALLETAS WAFER DE FRESA ISABELA 100 GR,GALLETAS,nan,1080.00,40,27.00,1.0000,0.5690,1080.00,614.52
000965,REFRESCO PEPSI 1 LT,SIN CATEGORIA,None,1325.00,6,220.83,0.8144,0.6899,1079.09,914.05
002648,PAPAS PARA PERRO MAX KRONCH 1 KG,CONFITERIA,nan,625.00,25,25.00,1.7260,4.2421,1078.77,2651.30
001065,CEREAL POP CRONCH CHOCOLATE MAIZORITOS 6 UND 20 GR,VIVERES,nan,816.00,24,34.00,1.3200,1.9714,1077.12,1608.64
001407,GALLETAS MARIA CACAO CALEDONIA 150 GR,GALLETAS,nan,1128.00,24,47.00,0.9524,1.2100,1074.30,1364.88
005014,CERA AUTOBRILLANTE TK 1 LT,LIMPIEZA,nan,756.00,12,63.00,1.4203,2.2600,1073.77,1708.56
004285,COLADO DE BANANA FRESA HEINZ 113 GR,INFANTIL,nan,1416.00,24,59.00,0.7534,0.7087,1066.81,1003.55
001213,COLADO DE POSTRE DE FRUTAS HEINZ 186 GR,INFANTIL,nan,1320.00,24,55.00,0.8077,0.8800,1066.21,1161.60
003805,GALLETAS DE FRESA OREO 192 GR,GALLETAS,nan,812.00,28,29.00,1.3129,2.1805,1066.07,1770.58
003939,GALLETASS WAFER DE CHOCOLATE SORBETICO 105 GR,GALLETAS,nan,1230.00,30,41.00,0.8644,1.0094,1063.27,1241.55
000949,GALLETAS SAMBA CHOCOLATE SAVOY 32 GR,GALLETAS,nan,1600.00,320,5.00,0.6640,0.6899,1062.38,1103.87
000702,DESODORANTE BABY PINK EVERY NIGHT 90 GR,CUIDADO PERSONAL,nan,924.00,12,77.00,1.1460,1.7684,1058.87,1634.04
001847,COLADO DE MANZANA NATULAC 186 GR,INFANTIL,nan,1176.00,24,49.00,0.9000,1.1100,1058.40,1305.36
002944,GUISANTES AL NATURAL KALDINI 400 GR,VIVERES,nan,912.00,24,38.00,1.1595,1.6606,1057.44,1514.46
001495,ADOBO COMPLETO IBERIA 185 GR,SIN CATEGORIA,None,816.00,24,34.00,1.2947,1.7211,1056.51,1404.40
005011,DESINFECTANTE LAVANDA TK 1 LT,LIMPIEZA,nan,1284.00,12,107.00,0.8216,0.8892,1054.89,1141.72
004754,SUAVIZANTE FRESCA PRIMAVERA SUAVITEL 500 ML,LIMPIEZA,nan,1054.00,24,43.92,1.0000,2.1379,1054.00,2253.35
004401,HARINA DE TRIGO PANADERA AVEIRO 1 KG,CESTA BASICA,nan,950.00,10,95.00,1.1072,1.3100,1051.85,1244.50
002292,BEBIDA EN POLVO DE NARANJA TANG 20 GR,BEBIDAS,nan,1920.00,15,128.00,0.5435,0.4808,1043.48,923.14
001713,COLADO DE CIRUELAS PASAS HEINZ 113 GR,INFANTIL,nan,1368.00,24,57.00,0.7618,0.7100,1042.13,971.28
004729,JABON HUMECTANTE OLIVA Y ALOE VERA TRIPACK PALMOLIVE 330 GR,CUIDADO PERSONAL,nan,312.00,24,13.00,3.3400,4.4400,1042.08,1385.28
001207,COLADO DE FRUTAS MIXTAS HEINZ 186 GR,INFANTIL,nan,1152.00,24,48.00,0.9033,0.8800,1040.64,1013.76
001144,GALLETAS MARIA SELECTA INTEGRAL PUIG 250 GR,GALLETAS,nan,960.00,24,40.00,1.0805,1.5184,1037.27,1457.65
003520,SALSA DE AJI PICANTE FRITZ 250 GR,VIVERES,nan,816.00,12,68.00,1.2709,1.8007,1037.05,1469.37
001801,CEREAL CHOCOFUDGE FLIPS L 6 UND 50 GR,VIVERES,nan,180.00,9,20.00,5.7400,7.6300,1033.20,1373.40
003519,MOSTAZA PREPARADA FRITZ 250 GR,VIVERES,nan,816.00,12,68.00,1.2603,1.8195,1028.39,1484.75
004834,SALSA AMATRICIANA KIERO 340 GR,VIVERES,nan,984.00,24,41.00,1.0407,1.3400,1024.08,1318.56
004481,GALLETAS TIPO AMERICANO DE CHOCOLATE OREO 48 GR,GALLETAS,nan,2304.00,8,288.00,0.4440,0.5402,1023.06,1244.57
002099,COMPOTA DE MANGO OSOLE 100 GR,INFANTIL,nan,1536.00,24,64.00,0.6622,0.5696,1017.17,874.89
001214,GELATINA DE FRESA SONRISSA 132 GR,REPOSTERIA,nan,672.00,48,14.00,1.5100,1.8600,1014.72,1249.92
004884,GALLETAS CLUB SOCIAL INTEGRAL MULTICEREAL NABISCO 156 GR,GALLETAS,nan,960.00,30,32.00,1.0500,1.5512,1008.00,1489.12
004122,LICOR SECO A BASE DE WHISKY GLEN WALLACE 700 ML,BODEGON,nan,372.00,12,31.00,2.7043,3.6300,1006.01,1350.36
002590,GATARINA ORIGINAL ADULTO MIRRINGO 500 GR,MASCOTAS,nan,780.00,20,39.00,1.2890,3.1469,1005.40,2454.57
000927,CHOCOLATE CRICRI SAVOY 123 GR,CONFITERIA,nan,560.00,80,7.00,1.7950,3.3195,1005.20,1858.92
003780,BEBIDA EN POLVO DE NARANJA TANDY 25 GR,BEBIDAS,nan,1680.00,15,112.00,0.5969,0.1900,1002.75,319.20
005085,GALLETAS DUE CHEESE CAKE ISABELA TORTHINAS 140 GR,SIN CATEGORIA,None,1000.00,50,20.00,1.0000,0.6293,1000.00,629.30
003889,CEREAL PLANET FRUIT SANTONI 240 GR,VIVERES,nan,768.00,12,64.00,1.2996,1.9208,998.09,1475.15
002397,JABON ANTIBACTERIAL MACADAMIA PROTEX 110 GR,CUIDADO PERSONAL,nan,1296.00,72,18.00,0.7664,1.4589,993.22,1890.72
002096,COMPOTA DE MANZANA CON AVENA OSOLE 100 GR,INFANTIL,nan,1584.00,24,66.00,0.6241,0.5697,988.57,902.34
001814,SANGRIA MONUMENTAL 1.75 LT,BODEGON,nan,306.00,6,51.00,3.2300,3.7100,988.38,1135.26
002836,WAFER DE VAINILLA RENATA 115 GR,GALLETAS,nan,1160.00,40,29.00,0.8506,0.9868,986.71,1144.64
004313,CHAMPU NIÑOS GRANJA 320 ML,CUIDADO PERSONAL,nan,1009.00,12,84.08,0.9750,1.0881,983.82,1097.86
002762,CREMA DE LECHE NESTLE 300 GR,REFRIGERADOS Y CONGELADOS,nan,432.00,48,9.00,2.2700,2.9100,980.64,1257.12
003551,SALSA INGLESA ARIAS 150 ML,VIVERES,nan,1152.00,24,48.00,0.8507,0.8400,979.97,967.68
001269,REFRESCO ORIGINAL COCA COLA 1 LT,BEBIDAS,nan,1206.00,6,201.00,0.8091,0.7500,975.78,904.50
004052,CEREAL CHOCOLATE FLIPS 400 GR,VIVERES,nan,350.00,14,25.00,2.7829,5.1614,974.00,1806.51
002589,PERRARINA ADULTO RINGO 1 KG,MASCOTAS,nan,640.00,20,32.00,1.5200,3.2725,972.80,2094.40
001863,LACTOVISOY 1 KG,VIVERES,nan,286.00,12,23.83,3.3983,7.8100,971.91,2233.66
002294,BEBIDA EN POLVO DE PARCHITA TANG 20 GR,BEBIDAS,nan,1560.00,15,104.00,0.6220,0.4811,970.37,750.59
000766,GALLETAS DE FRESA SORBETICO 4 UND 100 GR,GALLETAS,nan,1036.00,28,37.00,0.9326,1.1711,966.17,1213.21
003050,PAÑAL PARA BEBES BASIC TALLA M OKI x 11,INFANTIL,nan,640.00,20,32.00,1.5057,2.4209,963.63,1549.39
003854,PAN DE SANDWICH BLANCO BIMBO 500 GR,PANADERIA,nan,820.00,1,820.00,1.1747,1.7000,963.29,1394.00
000863,CHICHA EN POLVO EL CHICHERO 500 GR,VIVERES,nan,288.00,24,12.00,3.3432,5.1394,962.83,1480.16
002287,GALLETAS DE VAINILLA SORBETICO 105 GR,GALLETAS,nan,1080.00,30,36.00,0.8841,1.0093,954.87,1090.02
004170,SHAMPOO RESTAURACION PANTENE 400 ML,CUIDADO PERSONAL,nan,168.00,12,14.00,5.6744,8.0600,953.31,1354.08
002588,PERRARINA CACHORRO RINGO 1 KG.,MASCOTAS,nan,720.00,20,36.00,1.3228,3.5478,952.41,2554.44
003813,RAQUETY PICANTE FRITO LAY 36 GR,CONFITERIA,nan,1380.00,30,46.00,0.6897,0.7500,951.76,1035.00
005148,BAÑO DE CREMA ACEITE AGUACATE GRANJA 250 GR,CUIDADO PERSONAL,nan,528.00,12,44.00,1.7982,2.9200,949.43,1541.76
000679,JABON HUMECTACION REFRESC. SANDIA PALMOLIVE 110 GR.,SIN CATEGORIA,None,1320.00,72,18.33,0.7183,1.3350,948.22,1762.15
001029,CEREAL CHOCO SAFARI LONCH 6 UND 25 GR,VIVERES,nan,720.00,24,30.00,1.3145,1.9714,946.43,1419.42
000253,BAMBINOS GRANJA 18 CM,REFRIGERADOS Y CONGELADOS,nan,1105.00,20,55.25,0.8532,0.8600,942.81,950.30
002143,TOALLAS SANITARIAS PLUS EXTRA ABUND NOCT.340 MM ALIVE 8 UND,CUIDADO PERSONAL,nan,1080.00,72,15.00,0.8720,1.4973,941.74,1617.03
000285,WHISKY TRIPLE WOOD BLENDED 12 AÑOS SCOTCH GRANTS 750 ML,BODEGON,nan,72.00,6,12.00,12.9855,23.3608,934.96,1681.98
001671,PREPARADO DE MAYONESA MAYORIKA ALBECA 465 GR,VIVERES,None,933.00,12,77.75,1.0000,1.9138,933.00,1785.58
000923,CHOCOLATE CON LECHE SAVOY 130 GR,CONFITERIA,nan,480.00,5,96.00,1.9432,3.3196,932.75,1593.40
003389,PURE DE TOMATE HEINZ 190 GR,VIVERES,nan,816.00,24,34.00,1.1422,1.5300,932.03,1248.48
002750,CIGARROS IBIZA 20 UND,MISCELANEOS,None,1000.00,10,100.00,0.9307,1.1900,930.72,1190.00
001605,GARBANZOS MARY 500 GR,CESTA BASICA,nan,528.00,24,22.00,1.7574,3.0800,927.92,1626.24
001521,SOPA DE POLLO CON FIDEOS IBERIA 60 GR,VIVERES,nan,1152.00,72,16.00,0.8037,0.9703,925.83,1117.75
003536,REFRESCO FRESH GLUP 1 LT,SIN CATEGORIA,None,1464.00,12,122.00,0.6311,0.5400,924.00,790.56
002301,GALLETAS MANZANA Y CANELA HONEY BELVITA NABISCO 252 GR,GALLETAS,nan,920.00,20,46.00,1.0000,2.3800,920.00,2189.60
001028,CEREAL AZUCARADAS LONCH 6 UND 25 GR,VIVERES,nan,720.00,24,30.00,1.2751,1.9718,918.09,1419.66
004092,JUGO DE MANZANA AKUITA KAITO 200 ML,SIN CATEGORIA,None,918.00,27,34.00,1.0000,0.4300,918.00,394.74
005036,ESPONJA MULTIUSOS PLATEADA TK,LIMPIEZA,nan,1200.00,30,40.00,0.7645,0.9206,917.36,1104.69
001244,GELATINA DE FRAMBUESA SONRISSA 66 GR,REPOSTERIA,nan,864.00,48,18.00,1.0601,1.3700,915.95,1183.68
001500,CUBITOS DE CARNE IBERIA 96 GR,VIVERES,nan,750.00,30,25.00,1.2156,1.7500,911.68,1312.50
001712,COLADO DE MELOCOTON HEINZ 113 GR,INFANTIL,nan,1200.00,24,50.00,0.7577,0.7100,909.23,852.00
005146,GEL FIJADOR GRANJA 125 GR,CUIDADO PERSONAL,nan,912.00,24,38.00,0.9941,1.1400,906.62,1039.68
001827,NECTAR DE PERA NATULAC 250 ML,BEBIDAS,nan,1176.00,24,49.00,0.7697,0.8509,905.13,1000.63
000962,REFRESCO MANZANA GOLDEN 1 LT,BEBIDAS,nan,1290.00,6,215.00,0.7010,0.5500,904.26,709.50
005145,REMOVEDOR DE ESMALTE GRANJA 60 ML,CUIDADO PERSONAL,nan,792.00,24,33.00,1.1411,1.5300,903.79,1211.76
004721,CEPILLO DENTAL PREMIER CLEAN COLGATE,CUIDADO PERSONAL,nan,1008.00,84,12.00,0.8916,0.9581,898.75,965.76
000785,TOALLAS NOCTURNA WANITA 330 MM 10 UND,SIN CATEGORIA,None,896.00,32,28.00,1.0000,1.2624,896.00,1131.14
005336,GRANJA SERVILLETA PEQUEÑA 160 H,SIN CATEGORIA,GRANJA,1024.00,16,64.00,0.8710,0.6205,891.95,635.40
000964,REFRESCO KOLITA GOLDEN 1 LT,SIN CATEGORIA,None,1254.00,6,209.00,0.7111,0.5500,891.69,689.70
001455,PEPITO MUNDO MARINO FRITO LAY 80 GR,CONFITERIA,nan,972.00,36,27.00,0.9170,1.0602,891.32,1030.47
001481,CREMA DE LECHE PURISIMA 500 GR,SIN CATEGORIA,None,276.00,12,23.00,3.2105,4.6705,886.11,1289.06
000947,GALLETAS COCOSETTE NESTLE 50 GR,GALLETAS,nan,1080.00,216,5.00,0.8193,0.7900,884.88,853.20
002805,GALLETAS WAFER DE CHOCOLATE BLANCO ISABELA 100 GR,GALLETAS,nan,880.00,40,22.00,1.0000,0.5690,880.00,500.72
004178,TOALLAS SANITARIAS DIA ALWAYS 10 UND,CUIDADO PERSONAL,nan,432.00,24,18.00,2.0303,2.8197,877.07,1218.11
000984,REFRESCO PEPSI 1.5 LT,SIN CATEGORIA,None,1020.00,6,170.00,0.8534,0.8400,870.49,856.80
003367,MAIZ DULCE ENTERO DEL MONTE 220 GR,VIVERES,nan,540.00,12,45.00,1.6100,1.9800,869.40,1069.20
005121,PASTA TUBITO LISO #2 ALLEGRI 1 KG,CESTA BASICA,nan,552.00,12,46.00,1.5740,1.9000,868.83,1048.80
002830,GALLETAS DE MANTEQUILLA Y COCO RENATA 133 GR,GALLETAS,nan,1188.00,36,33.00,0.7292,0.9200,866.24,1092.96
004477,GALLETAS DE CHOCOLATE OREO  48 GR,GALLETAS,nan,1152.00,8,144.00,0.7519,0.5418,866.23,624.15
003517,SALSA BBQ FRITZ 290 GR,VIVERES,nan,660.00,12,55.00,1.3100,2.1019,864.60,1387.26
000957,REFRESCO MANZANA GOLDEN 1.5 LT,BEBIDAS,nan,1110.00,6,185.00,0.7781,0.6700,863.65,743.70
003552,SALSA DE SOYA ARIAS 150 ML,VIVERES,nan,1080.00,24,45.00,0.7952,0.8400,858.82,907.20
001788,PAPAS FRITAS RALLADAS FRITZ YILL 160 GR,CONFITERIA,nan,708.00,12,59.00,1.2037,1.7593,852.23,1245.56
002447,TOALLAS SANITARIAS ESENCIAL CON ALAS KOTEX 16 GR,CUIDADO PERSONAL,nan,1040.00,16,65.00,0.8194,1.0291,852.17,1070.28
004753,SUAVIZANTE BABY SUAVITEL 1 LT,LIMPIEZA,nan,312.00,12,26.00,2.7281,4.4904,851.18,1401.00
